m/z,area,Messung,sccm,Temperatur,Datei
140.5559,0.7071755689901037,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
141.2888,0.6597926979611448,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
141.4948,0.7073897581795442,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
142.23,0.6191900782360878,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
143.1028,0.7643953413944862,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
143.5138,0.8019720602185318,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
143.7327,0.678599099099339,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
144.0652,0.6808810455195095,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
144.3602,0.7254837837841541,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
144.648,0.678998850166475,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
144.9132,0.7871945116163656,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
145.3192,0.7473333333336143,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
145.6573,0.680199999999715,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
146.0719,0.7270666666673927,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
147.0136,0.764315654521696,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
147.2467,0.7530982343678571,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
147.7822,0.7612128092666384,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
147.9737,0.7924127642822819,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
148.1922,0.8294633378315859,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
148.5106,0.7326404520917488,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
148.8524,0.7496173414304395,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
149.0753,0.8465213787684966,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
149.36,0.7811897660817406,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
149.5872,0.7340683985604857,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
149.9842,0.7967523504275753,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
150.2118,0.8655303981107241,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
150.5015,0.7939121794872475,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
150.7566,0.8326529689609455,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
150.9732,0.7967419590645008,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
151.1745,0.8718658344580066,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
151.3837,0.7812263382817418,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
151.5853,0.777336212325735,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
151.8723,0.8314864260000836,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
152.1014,0.8339504385965872,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
152.319,0.8021000000003131,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
152.5523,0.8553999999994629,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
152.8091,0.7564281601429106,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
153.0272,0.8242000000003504,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
153.2689,0.8085999999994158,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
153.5497,0.8111999999992936,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
153.8387,0.962740950855075,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
154.1279,0.8295297222226864,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
154.4291,0.8300160897431768,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
154.6287,0.8341913354705217,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
154.9226,0.8028154273508121,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
155.201,0.9405119978629026,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
155.4208,0.913432457265615,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
155.684,0.8278578098285789,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
155.971,0.9042761324779893,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
156.207,0.8632246581193452,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
156.5142,0.827509433761271,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
156.8098,0.9045381837602249,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
157.0387,0.888743247862916,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
157.2518,1.0524623076917603,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
157.564,0.9086975000000213,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
157.8092,0.9197330235037348,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
158.0427,0.853870694444305,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
158.3199,0.9934167307688404,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
158.5221,0.9471991346153597,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
158.7561,0.7819518162391381,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
158.9546,0.970047051281582,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
